time,Ix(U40:VDD)
6.51E-05,"	-1.106766e-004"
6.51E-05,"	-1.106768e-004"
6.51E-05,"	-1.106707e-004"
6.51E-05,"	-1.103528e-004"
6.52E-05,"	-1.098460e-004"
6.52E-05,"	-1.096352e-004"
6.52E-05,"	-1.096306e-004"
6.52E-05,"	-1.096295e-004"
6.52E-05,"	-1.096280e-004"
6.52E-05,"	-1.096258e-004"
6.52E-05,"	-1.096241e-004"
6.52E-05,"	-1.096219e-004"
6.52E-05,"	-1.096128e-004"
6.52E-05,"	-1.096081e-004"
6.52E-05,"	-1.096080e-004"
6.52E-05,"	-1.096079e-004"
7.00E-05,"	-1.096079e-004"
7.00E-05,"	-1.095988e-004"
7.00E-05,"	-1.095943e-004"
7.00E-05,"	-1.095944e-004"
7.00E-05,"	-1.095949e-004"
7.00E-05,"	-1.095961e-004"
7.00E-05,"	-1.095980e-004"
7.00E-05,"	-1.096005e-004"
7.00E-05,"	-1.097725e-004"
7.01E-05,"	-1.102542e-004"
7.01E-05,"	-1.105356e-004"
7.01E-05,"	-1.105161e-004"
7.01E-05,"	-1.104898e-004"
7.01E-05,"	-1.105149e-004"
7.01E-05,"	-1.105140e-004"
7.01E-05,"	-1.105203e-004"
7.01E-05,"	-1.105297e-004"
7.01E-05,"	-1.105335e-004"
7.01E-05,"	-1.105359e-004"
7.01E-05,"	-1.105385e-004"
7.01E-05,"	-1.105430e-004"
7.01E-05,"	-1.106024e-004"
7.01E-05,"	-1.106573e-004"
7.01E-05,"	-1.106817e-004"
7.01E-05,"	-1.106842e-004"
7.01E-05,"	-1.106826e-004"
7.01E-05,"	-1.106808e-004"
7.01E-05,"	-1.106788e-004"
7.01E-05,"	-1.102065e-004"
7.02E-05,"	-1.093201e-004"
7.02E-05,"	-1.087094e-004"
7.02E-05,"	-1.085951e-004"
7.02E-05,"	-1.085936e-004"
7.02E-05,"	-1.085922e-004"
7.02E-05,"	-1.085906e-004"
7.02E-05,"	-1.085883e-004"
7.02E-05,"	-1.085846e-004"
7.02E-05,"	-1.085820e-004"
7.02E-05,"	-1.085782e-004"
7.02E-05,"	-1.085690e-004"
7.02E-05,"	-1.085642e-004"
7.02E-05,"	-1.085640e-004"
7.02E-05,"	-1.085638e-004"
7.51E-05,"	-1.085638e-004"
7.51E-05,"	-1.085906e-004"
7.51E-05,"	-1.086160e-004"
7.51E-05,"	-1.086285e-004"
7.51E-05,"	-1.086303e-004"
7.51E-05,"	-1.086288e-004"
7.51E-05,"	-1.086269e-004"
7.51E-05,"	-1.086211e-004"
7.51E-05,"	-1.083049e-004"
7.52E-05,"	-1.078007e-004"
7.52E-05,"	-1.075828e-004"
7.52E-05,"	-1.075774e-004"
7.52E-05,"	-1.075772e-004"
7.52E-05,"	-1.075770e-004"
7.52E-05,"	-1.075765e-004"
7.52E-05,"	-1.075763e-004"
7.52E-05,"	-1.075760e-004"
7.52E-05,"	-1.075756e-004"
7.52E-05,"	-1.075665e-004"
7.52E-05,"	-1.075619e-004"
7.52E-05,"	-1.075619e-004"
7.52E-05,"	-1.075619e-004"
8.00E-05,"	-1.075619e-004"
8.00E-05,"	-1.075256e-004"
8.00E-05,"	-1.075077e-004"
8.00E-05,"	-1.075091e-004"
8.00E-05,"	-1.075125e-004"
8.00E-05,"	-1.075203e-004"
8.00E-05,"	-1.075348e-004"
8.00E-05,"	-1.075539e-004"
8.00E-05,"	-1.084510e-004"
8.00E-05,"	-1.128424e-004"
8.01E-05,"	-1.201956e-004"
8.01E-05,"	-1.225543e-004"
8.01E-05,"	-1.225433e-004"
8.01E-05,"	-1.224101e-004"
8.01E-05,"	-1.224316e-004"
8.01E-05,"	-1.224388e-004"
8.01E-05,"	-1.224590e-004"
8.01E-05,"	-1.224898e-004"
8.01E-05,"	-1.225066e-004"
8.01E-05,"	-1.225245e-004"
8.01E-05,"	-1.225573e-004"
8.01E-05,"	-1.227516e-004"
8.01E-05,"	-1.229110e-004"
8.01E-05,"	-1.229552e-004"
8.01E-05,"	-1.229499e-004"
8.01E-05,"	-1.229433e-004"
8.01E-05,"	-1.229311e-004"
8.01E-05,"	-1.224115e-004"
8.01E-05,"	-1.199749e-004"
8.01E-05,"	-1.152827e-004"
8.02E-05,"	-1.096584e-004"
8.02E-05,"	-1.075451e-004"
8.02E-05,"	-1.070041e-004"
8.02E-05,"	-1.069627e-004"
8.02E-05,"	-1.069382e-004"
8.02E-05,"	-1.069172e-004"
8.02E-05,"	-1.068801e-004"
8.02E-05,"	-1.068668e-004"
8.02E-05,"	-1.068511e-004"
8.02E-05,"	-1.068436e-004"
8.02E-05,"	-1.068353e-004"
8.02E-05,"	-1.068256e-004"
8.02E-05,"	-1.068200e-004"
8.02E-05,"	-1.068190e-004"
8.51E-05,"	-1.068182e-004"
8.51E-05,"	-1.068453e-004"
8.51E-05,"	-1.068709e-004"
8.51E-05,"	-1.068835e-004"
8.51E-05,"	-1.068859e-004"
8.51E-05,"	-1.068861e-004"
8.51E-05,"	-1.068876e-004"
8.51E-05,"	-1.068783e-004"
8.51E-05,"	-1.065586e-004"
8.52E-05,"	-1.060522e-004"
8.52E-05,"	-1.058476e-004"
8.52E-05,"	-1.058434e-004"
8.52E-05,"	-1.058419e-004"
8.52E-05,"	-1.058395e-004"
8.52E-05,"	-1.058357e-004"
8.52E-05,"	-1.058337e-004"
8.52E-05,"	-1.058327e-004"
8.52E-05,"	-1.058318e-004"
8.52E-05,"	-1.058305e-004"
8.52E-05,"	-1.058213e-004"
8.52E-05,"	-1.058166e-004"
8.52E-05,"	-1.058164e-004"
8.52E-05,"	-1.058163e-004"
9.00E-05,"	-1.058163e-004"
9.00E-05,"	-1.058072e-004"
9.00E-05,"	-1.058027e-004"
9.00E-05,"	-1.058029e-004"
9.00E-05,"	-1.058038e-004"
9.00E-05,"	-1.058058e-004"
9.00E-05,"	-1.058089e-004"
9.00E-05,"	-1.058182e-004"
9.00E-05,"	-1.061172e-004"
9.01E-05,"	-1.066251e-004"
9.01E-05,"	-1.067439e-004"
9.01E-05,"	-1.067161e-004"
9.01E-05,"	-1.067263e-004"
9.01E-05,"	-1.067273e-004"
9.01E-05,"	-1.067352e-004"
9.01E-05,"	-1.067405e-004"
9.01E-05,"	-1.067429e-004"
9.01E-05,"	-1.067470e-004"
9.01E-05,"	-1.067515e-004"
9.01E-05,"	-1.068109e-004"
9.01E-05,"	-1.068659e-004"
9.01E-05,"	-1.068907e-004"
9.01E-05,"	-1.068943e-004"
9.01E-05,"	-1.068945e-004"
9.01E-05,"	-1.068969e-004"
9.01E-05,"	-1.068992e-004"
9.01E-05,"	-1.064219e-004"
9.02E-05,"	-1.055319e-004"
9.02E-05,"	-1.049294e-004"
9.02E-05,"	-1.048190e-004"
9.02E-05,"	-1.048161e-004"
9.02E-05,"	-1.048135e-004"
9.02E-05,"	-1.048103e-004"
9.02E-05,"	-1.048060e-004"
9.02E-05,"	-1.047991e-004"
9.02E-05,"	-1.047944e-004"
9.02E-05,"	-1.047872e-004"
9.02E-05,"	-1.047778e-004"
9.02E-05,"	-1.047729e-004"
9.02E-05,"	-1.047724e-004"
9.02E-05,"	-1.047722e-004"
9.51E-05,"	-1.047722e-004"
9.51E-05,"	-1.047988e-004"
9.51E-05,"	-1.048240e-004"
9.51E-05,"	-1.048368e-004"
9.51E-05,"	-1.048391e-004"
9.51E-05,"	-1.048383e-004"
9.51E-05,"	-1.048376e-004"
9.51E-05,"	-1.048372e-004"
9.51E-05,"	-1.045413e-004"
9.52E-05,"	-1.040507e-004"
9.52E-05,"	-1.038096e-004"
9.52E-05,"	-1.037903e-004"
9.52E-05,"	-1.037896e-004"
9.52E-05,"	-1.037890e-004"
9.52E-05,"	-1.037881e-004"
9.52E-05,"	-1.037869e-004"
9.52E-05,"	-1.037863e-004"
9.52E-05,"	-1.037854e-004"
9.52E-05,"	-1.037842e-004"
9.52E-05,"	-1.037750e-004"
9.52E-05,"	-1.037704e-004"
9.52E-05,"	-1.037703e-004"
9.52E-05,"	-1.037703e-004"
1.00E-04,"	-1.037703e-004"
1.00E-04,"	-1.037521e-004"
1.00E-04,"	-1.037430e-004"
1.00E-04,"	-1.037434e-004"
1.00E-04,"	-1.037448e-004"
1.00E-04,"	-1.037480e-004"
1.00E-04,"	-1.037538e-004"
1.00E-04,"	-1.037609e-004"
1.00E-04,"	-1.038855e-004"
1.00E-04,"	-1.048553e-004"
1.00E-04,"	-1.063950e-004"
1.00E-04,"	-1.066688e-004"
1.00E-04,"	-1.065814e-004"
1.00E-04,"	-1.066214e-004"
1.00E-04,"	-1.066177e-004"
1.00E-04,"	-1.066295e-004"
1.00E-04,"	-1.066453e-004"
1.00E-04,"	-1.066502e-004"
1.00E-04,"	-1.066589e-004"
1.00E-04,"	-1.066758e-004"
1.00E-04,"	-1.067751e-004"
1.00E-04,"	-1.068636e-004"
1.00E-04,"	-1.068976e-004"
1.00E-04,"	-1.068996e-004"
1.00E-04,"	-1.068992e-004"
1.00E-04,"	-1.069004e-004"
1.00E-04,"	-1.068286e-004"
1.00E-04,"	-1.058148e-004"
1.00E-04,"	-1.040940e-004"
1.00E-04,"	-1.029691e-004"
1.00E-04,"	-1.027825e-004"
1.00E-04,"	-1.027781e-004"
1.00E-04,"	-1.027739e-004"
1.00E-04,"	-1.027680e-004"
1.00E-04,"	-1.027609e-004"
1.00E-04,"	-1.027491e-004"
1.00E-04,"	-1.027444e-004"
1.00E-04,"	-1.027386e-004"
1.00E-04,"	-1.027300e-004"
1.00E-04,"	-1.027204e-004"
1.00E-04,"	-1.027153e-004"
1.00E-04,"	-1.027147e-004"
1.05E-04,"	-1.027143e-004"
1.05E-04,"	-1.027405e-004"
1.05E-04,"	-1.027656e-004"
1.05E-04,"	-1.027788e-004"
1.05E-04,"	-1.027817e-004"
1.05E-04,"	-1.027813e-004"
1.05E-04,"	-1.027817e-004"
1.05E-04,"	-1.027831e-004"
1.05E-04,"	-1.025268e-004"
1.05E-04,"	-1.020529e-004"
1.05E-04,"	-1.017798e-004"
1.05E-04,"	-1.017363e-004"
1.05E-04,"	-1.017354e-004"
1.05E-04,"	-1.017346e-004"
1.05E-04,"	-1.017335e-004"
1.05E-04,"	-1.017320e-004"
1.05E-04,"	-1.017292e-004"
