time	Ix(U40:VDD)
6.520000000000001e-005	-6.240409e-004
6.520050298492286e-005	-6.240279e-004
6.520150895476856e-005	-6.240199e-004
6.520754477384281e-005	-6.240188e-004
6.996011860039527e-005	-6.240188e-004
7.000000000000001e-005	-6.240187e-004
7.000045696144052e-005	-6.240088e-004
7.000137088432154e-005	-6.240028e-004
7.000319873008358e-005	-6.240014e-004
7.000685442160766e-005	-6.240008e-004
7.001416580465584e-005	-6.240006e-004
7.002586769279178e-005	-6.240003e-004
7.003871764744288e-005	-6.240000e-004
7.005825975510271e-005	-6.239996e-004
7.006635803280993e-005	-6.239990e-004
7.007158813377793e-005	-6.241510e-004
7.007586770027491e-005	-6.249605e-004
7.008049963363207e-005	-6.270299e-004
7.008356972190355e-005	-6.290670e-004
7.008805199338635e-005	-6.325874e-004
7.009103545703442e-005	-6.350860e-004
7.009403307270386e-005	-6.376507e-004
7.010000000000001e-005	-6.427229e-004
7.010059669272962e-005	-6.418460e-004
7.010179007818885e-005	-6.403538e-004
7.010417684910732e-005	-6.379618e-004
7.010895039094423e-005	-6.335965e-004
7.011545969186013e-005	-6.279761e-004
7.012847829369191e-005	-6.185675e-004
7.013506297209660e-005	-6.157862e-004
7.014003028653816e-005	-6.151874e-004
7.014540075323618e-005	-6.150944e-004
7.014877751990909e-005	-6.150871e-004
7.015364602329586e-005	-6.150970e-004
7.016338303006940e-005	-6.150941e-004
7.018052598645294e-005	-6.150936e-004
7.018658242743860e-005	-6.150946e-004
7.019049649920887e-005	-6.150939e-004
7.019478123763966e-005	-6.150936e-004
7.020000000000001e-005	-6.150940e-004
7.020046321361320e-005	-6.150834e-004
7.020138964083957e-005	-6.150767e-004
7.020324249529231e-005	-6.150750e-004
7.022918245763068e-005	-6.150745e-004
7.500000000000001e-005	-6.150745e-004
7.510000000000001e-005	-6.150746e-004
7.510090080237836e-005	-6.139248e-004
7.510270240713507e-005	-6.117057e-004
7.510630561664849e-005	-6.074368e-004
7.511351203567532e-005	-5.994164e-004
7.512635729358739e-005	-5.875303e-004
7.513265219776579e-005	-5.842904e-004
7.513785143838878e-005	-5.836558e-004
7.514325134575182e-005	-5.836177e-004
7.514788548016149e-005	-5.836145e-004
7.515318968586152e-005	-5.836167e-004
7.516379809726158e-005	-5.836156e-004
7.517878317719988e-005	-5.836154e-004
7.518689049497227e-005	-5.836152e-004
7.520000000000001e-005	-5.836161e-004
7.520049652242544e-005	-5.836060e-004
7.520148956727630e-005	-5.836003e-004
7.520347565697800e-005	-5.835996e-004
7.990000000000000e-005	-5.835994e-004
8.000000000000001e-005	-5.835994e-004
8.000048438833606e-005	-5.835603e-004
8.000145316500819e-005	-5.835377e-004
8.000339071835243e-005	-5.835337e-004
8.000726582504093e-005	-5.835320e-004
8.001501603841792e-005	-5.835311e-004
8.002663159307332e-005	-5.835299e-004
8.003991732866470e-005	-5.835285e-004
8.004568776518071e-005	-5.835922e-004
8.005007431813680e-005	-5.841675e-004
8.005425559352738e-005	-5.860618e-004
8.005769362413951e-005	-5.892995e-004
8.006189034841482e-005	-5.954428e-004
8.006615894062835e-005	-6.037583e-004
8.007067408619103e-005	-6.144969e-004
8.007512024778133e-005	-6.265977e-004
8.007940743370897e-005	-6.392525e-004
8.008449655079655e-005	-6.546528e-004
8.009103088179677e-005	-6.736335e-004
8.010000000000001e-005	-6.979938e-004
8.010072368681927e-005	-6.957530e-004
8.010217106045780e-005	-6.925882e-004
8.010506580773487e-005	-6.885682e-004
8.010928148405472e-005	-6.835226e-004
8.011384297708946e-005	-6.779893e-004
8.012296596315894e-005	-6.672821e-004
8.014121193529790e-005	-6.480689e-004
8.014982821824820e-005	-6.413649e-004
8.015526055545404e-005	-6.392048e-004
8.015972174666089e-005	-6.386414e-004
8.016429293613919e-005	-6.385291e-004
8.016740701096498e-005	-6.385218e-004
8.017179886826093e-005	-6.385311e-004
8.018243257081618e-005	-6.385306e-004
8.018613254674284e-005	-6.385273e-004
8.019260004814669e-005	-6.385276e-004
8.020000000000001e-005	-6.385332e-004
8.020047316528648e-005	-6.385186e-004
8.020141949585941e-005	-6.385091e-004
